unique id,university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count
4953,University of Baghdad,2021,801-1000,,https://www.topuniversities.com/universities/university-baghdad,Iraq,Baghdad,Asia,https://www.topuniversities.com/sites/default/files/university-of-baghdad_592560cf2aeae70239af5456_small.jpg,Public,High,10,96,XL,7
4954,University of Bahrain,2021,801-1000,,https://www.topuniversities.com/universities/university-bahrain,Bahrain,Zallaq,Asia,https://www.topuniversities.com/sites/default/files/university-of-bahrain_592560cf2aeae70239af5449_small.jpg,Public,Medium,13,3,L,1
4955,University of Bari,2021,801-1000,,https://www.topuniversities.com/universities/university-bari,Italy,Bari,Europe,https://www.topuniversities.com/sites/default/files/university-of-bari_45_small.jpg,Public,High,22,535,XL,1
4956,University of Brighton,2021,801-1000,,https://www.topuniversities.com/universities/university-brighton,United Kingdom,,Europe,https://www.topuniversities.com/sites/default/files/university-of-brighton_592560cf2aeae70239af4d45_small.jpg,Public,High,15,3,L,993
4957,University of Bucharest,2021,801-1000,,https://www.topuniversities.com/universities/university-bucharest,Romania,Bucharest,Europe,https://www.topuniversities.com/sites/default/files/university-of-bucharest_77_small.jpg,Public,Very High,17,718,XL,1972
4958,University of Calcutta,2021,801-1000,,https://www.topuniversities.com/universities/university-calcutta,India,Kolkata,Asia,https://www.topuniversities.com/sites/default/files/university-of-calcutta_592560cf2aeae70239af4ad4_small.jpg,Public,Very High,20,103,L,773
4959,University of Central Lancashire,2021,801-1000,,https://www.topuniversities.com/universities/university-central-lancashire,United Kingdom,Preston,Europe,https://www.topuniversities.com/sites/default/files/university-of-central-lancashire_113_small.jpg,Public,High,14,5,L,1
4960,University of Crete,2021,801-1000,,https://www.topuniversities.com/universities/university-crete,Greece,Heraklion,Europe,https://www.topuniversities.com/sites/default/files/university-of-crete_147_small.jpg,Public,High,32,608,L,437
4961,University of Dhaka,2021,801-1000,,https://www.topuniversities.com/universities/university-dhaka,Bangladesh,Dhaka,Asia,https://www.topuniversities.com/sites/default/files/university-of-dhaka_158_small.jpg,Public,Medium,15,48,XL,2
4962,University of East London,2021,801-1000,,https://www.topuniversities.com/universities/university-east-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/Webp.net-resizeimage-71-48x48.jpg,Public,High,22,5,L,582
4963,University of Engineering & Technology (UET) Lahore,2021,801-1000,,https://www.topuniversities.com/universities/university-engineering-technology-uet-lahore,Pakistan,Lahore,Asia,https://www.topuniversities.com/sites/default/files/university-of-engineering-technology-uet-lahore_592560cf2aeae70239af4d82_small.jpg,Public,Very High,13,681,L,1
4964,UNIVERSITY OF GDANSK,2021,801-1000,,https://www.topuniversities.com/universities/university-gdansk,Poland,Gdańsk,Europe,https://www.topuniversities.com/sites/default/files/university-of-gdansk_592560cf2aeae70239af5043_small.jpg,Public,Very High,10,515,L,2
4965,University of Hertfordshire,2021,801-1000,,https://www.topuniversities.com/universities/university-hertfordshire,United Kingdom,Hatfield,Europe,https://www.topuniversities.com/sites/default/files/university-of-hertfordshire_592560cf2aeae70239af50de_small.jpg,Public,High,17,7,L,1
4966,University of Kufa,2021,801-1000,,https://www.topuniversities.com/universities/university-kufa,Iraq,Kufa,Asia,https://www.topuniversities.com/sites/default/files/university-of-kufa_592560cf2aeae70239af5696_small.jpg,Public,Medium,11,43,L,2356
4967,University of Kwazulu-Natal,2021,801-1000,,https://www.topuniversities.com/universities/university-kwazulu-natal,South Africa,Pinetown,Africa,https://www.topuniversities.com/sites/default/files/university-of-kwazulu-natal_433_small.jpg,Public,Very High,19,493,XL,2
4968,University of Latvia,2021,801-1000,,https://www.topuniversities.com/universities/university-latvia,Latvia,Riga,Europe,https://www.topuniversities.com/sites/default/files/university-of-latvia_592560cf2aeae70239af5637_small.jpg,Public,High,21,871,L,570
4969,University of Lincoln,2021,801-1000,,https://www.topuniversities.com/universities/university-lincoln,United Kingdom,Lincoln,Europe,https://www.topuniversities.com/sites/default/files/university-of-lincoln_592560cf2aeae70239af50f6_small.jpg,Public,High,16,1,L,959
4970,University of Lodz,2021,801-1000,,https://www.topuniversities.com/universities/university-lodz,Poland,Lodz,Europe,https://www.topuniversities.com/sites/default/files/university-of-lodz_592560cf2aeae70239af4be4_small.jpg,Public,Very High,10,2,L,2
4971,Universiti Malaysia Sabah (UMS),2021,801-1000,,https://www.topuniversities.com/universities/universiti-malaysia-sabah-ums,Malaysia,Kota Kinabalu,Asia,https://www.topuniversities.com/sites/default/files/universiti-malaysia-sabah-ums_592560cf2aeae70239af4ef1_small.jpg,Public,Medium,19,705,L,913
4972,University of Malta,2021,801-1000,,https://www.topuniversities.com/universities/university-malta,Malta,Msida,Europe,https://www.topuniversities.com/sites/default/files/university-of-malta_592560cf2aeae70239af581a_small.jpg,Public,High,10,816,M,900
4973,University of Maribor,2021,801-1000,,https://www.topuniversities.com/universities/university-maribor,Slovenia,Maribor,Europe,https://www.topuniversities.com/sites/default/files/university-of-maribor_592560cf2aeae70239af509c_small.jpg,Public,High,10,859,L,1
4974,University of Miskolc ,2021,801-1000,,https://www.topuniversities.com/universities/university-miskolc,Hungary,Miskolc,Europe,https://www.topuniversities.com/sites/default/files/university-of-miskolc-_592560cf2aeae70239af4fee_small.jpg,Private,High,12,427,M,653
4975,University of Mississippi,2021,801-1000,,https://www.topuniversities.com/universities/university-mississippi,United States,Oxford,North America,https://www.topuniversities.com/sites/default/files/university-of-mississippi_592560cf2aeae70239af536f_small.jpg,Public,Very High,10,628,L,2
4976,University of New England Australia,2021,801-1000,,https://www.topuniversities.com/universities/university-new-england-australia,Australia,Armidale,Oceania,https://www.topuniversities.com/sites/default/files/university-of-new-england-australia_592560cf2aeae70239af4dd3_small.jpg,Public,Very High,40,1,L,575
4977,University of New Hampshire,2021,801-1000,,https://www.topuniversities.com/universities/university-new-hampshire,United States,Durham,North America,https://www.topuniversities.com/sites/default/files/university-of-new-hampshire_592560cf2aeae70239af51c1_small.jpg,Public,Very High,17,768,L,862
4978,University of Pardubice,2021,801-1000,,https://www.topuniversities.com/universities/university-pardubice,Czech Republic,Pardubice,Europe,https://www.topuniversities.com/sites/default/files/university-of-pardubice_592560cf2aeae70239af4f50_small.jpg,Public,Very High,11,336,S,443
4979,University of Parma,2021,801-1000,,https://www.topuniversities.com/universities/university-parma,Italy,Parma,Europe,https://www.topuniversities.com/sites/default/files/university-of-parma_592560cf2aeae70239af536e_small.jpg,Public,High,28,1801,L,1007
4980,University of Rijeka,2021,801-1000,,https://www.topuniversities.com/universities/university-rijeka,Croatia,,Europe,https://www.topuniversities.com/sites/default/files/university-of-rijeka_592560e59988f300e2321aad_small.jpg,Public,High,14,132,L,923
4981,University of Salford,2021,801-1000,,https://www.topuniversities.com/universities/university-salford,United Kingdom,Salford,Europe,https://www.topuniversities.com/sites/default/files/university-of-salford_592560cf2aeae70239af4ca5_small.jpg,Public,High,17,3783,L,1124
4982,University of San Diego,2021,801-1000,,https://www.topuniversities.com/universities/university-san-diego,United States,San Diego,North America,https://www.topuniversities.com/sites/default/files/university-of-san-diego_592560cf2aeae70239af4ca6_small.jpg,Private,High,12,638,M,647
4983,University of Santo Tomas,2021,801-1000,,https://www.topuniversities.com/universities/university-santo-tomas,Philippines,Manila,Asia,https://www.topuniversities.com/sites/default/files/university-of-santo-tomas_592560cf2aeae70239af4ca8_small.jpg,Private,Medium,13,1723,L,1990
4984,University of the Pacific,2021,801-1000,,https://www.topuniversities.com/universities/university-pacific,United States,Stockton,North America,https://www.topuniversities.com/sites/default/files/university-of-the-pacific_592560cf2aeae70239af4c6b_small.jpg,Private,High,10,389,M,560
4985,University of the Punjab,2021,801-1000,,https://www.topuniversities.com/universities/university-punjab,Pakistan,Lahore,Asia,https://www.topuniversities.com/sites/default/files/university-of-the-punjab_592560cf2aeae70239af4f07_small.jpg,Public,Very High,20,180,L,1340
4986,University of the West of England,2021,801-1000,,https://www.topuniversities.com/universities/university-west-england,United Kingdom,Bristol,Europe,https://www.topuniversities.com/sites/default/files/university-of-the-west-of-england_592560cf2aeae70239af4d23_small.jpg,Public,Very High,16,5698,L,1568
4987,University of Wroclaw,2021,801-1000,,https://www.topuniversities.com/universities/university-wroclaw,Poland,Wroclaw,Europe,https://www.topuniversities.com/sites/default/files/university-of-wroclaw_1465_small.jpg,Public,Very High,11,1417,L,1846
4988,University of Wyoming,2021,801-1000,,https://www.topuniversities.com/universities/university-wyoming,United States,Laramie,North America,https://www.topuniversities.com/sites/default/files/university-of-wyoming_592560cf2aeae70239af51ca_small.jpg,Public,Very High,12,564,M,904
4989,University of Zagreb,2021,801-1000,,https://www.topuniversities.com/universities/university-zagreb,Croatia,Zagreb,Europe,https://www.topuniversities.com/sites/default/files/university-of-zagreb_14110_small.jpg,Public,Very High,11,655,XL,5
4990,Utah State University ,2021,801-1000,,https://www.topuniversities.com/universities/utah-state-university,United States,Logan,North America,https://www.topuniversities.com/sites/default/files/utah-state-university-_592560cf2aeae70239af51cb_small.jpg,Public,Very High,19,331,L,1053
4991,Verona University,2021,801-1000,,https://www.topuniversities.com/universities/verona-university,Italy,Verona,Europe,https://www.topuniversities.com/sites/default/files/verona-university_592560cf2aeae70239af5667_small.jpg,Public,High,18,726,L,904
